dataset,seed,dr_method,dimension,embedding,circuit_evals,kta,centered_kta,variance,effective_rank,fro_norm,svm_train_acc,svm_test_acc
noise,0,pca,2,zz,250000,0.0007766032940708101,0.003620976349338889,0.06629383563995361,3.1628077030181885,357.4277648925781,0.5628571428571428,0.5533333333333333
noise,0,pca,2,angle_reupload,250000,0.00012778289965353906,0.00021667701366823167,0.03333815559744835,1.3448957204818726,383.8725280761719,0.5085714285714286,0.49333333333333335
noise,0,pca,4,zz,250000,0.004209107253700495,0.008662823587656021,0.03786353021860123,23.68753433227539,169.4024200439453,0.6342857142857142,0.5
noise,0,pca,4,angle_reupload,250000,0.0007297546253539622,0.0019219161476939917,0.04932775720953941,4.579344272613525,174.49517822265625,0.5342857142857143,0.4666666666666667
noise,0,pca,6,zz,250000,0.01253493968397379,0.02002103440463543,0.011058418080210686,142.54995727539062,74.77098846435547,0.8085714285714286,0.52
noise,0,pca,6,angle_reupload,250000,0.0004059103084728122,3.4204487747047096e-05,0.0056102038361132145,29.990890502929688,47.35544204711914,0.49142857142857144,0.49333333333333335
noise,0,pca,8,zz,250000,0.02622518315911293,0.03404523804783821,0.004057998303323984,337.9625549316406,38.22767639160156,0.9685714285714285,0.5666666666666667
noise,0,pca,8,angle_reupload,250000,0.0016528589185327291,0.001814347691833973,0.0005703837377950549,86.08708953857422,13.45833683013916,0.5028571428571429,0.49333333333333335
noise,0,pca,10,zz,250000,0.03726089000701904,0.04081588238477707,0.0024958306457847357,443.330078125,26.75560760498047,1.0,0.5066666666666667
noise,0,pca,10,angle_reupload,250000,0.00015949082444421947,-0.00010550998558755964,1.3705765923077706e-05,126.25703430175781,2.0986263751983643,0.5057142857142857,0.5066666666666667
noise,0,rp,2,zz,250000,0.00047589404857717454,0.0028313833754509687,0.05759793147444725,2.7189722061157227,373.12628173828125,0.5485714285714286,0.44
noise,0,rp,2,angle_reupload,250000,7.613433990627527e-05,0.0001301353913731873,0.028886141255497932,1.1752288341522217,394.7862854003906,0.5171428571428571,0.49333333333333335
noise,0,rp,4,zz,250000,0.0033084533642977476,0.007438104134052992,0.04387284442782402,16.721139907836914,196.7094268798828,0.6314285714285715,0.44
noise,0,rp,4,angle_reupload,250000,-0.00038772920379415154,-0.002148453611880541,0.05597472935914993,3.1840767860412598,201.92095947265625,0.5228571428571429,0.4666666666666667
noise,0,rp,6,zz,250000,0.010645441710948944,0.01663561351597309,0.012554380111396313,127.0926513671875,79.18850708007812,0.7885714285714286,0.5066666666666667
noise,0,rp,6,angle_reupload,250000,0.0013801915338262916,0.0020837837364524603,0.007309464737772942,20.19170570373535,53.6341438293457,0.45714285714285713,0.54
noise,0,rp,8,zz,250000,0.021675463765859604,0.02847878448665142,0.004892455413937569,303.22052001953125,42.5848503112793,0.9314285714285714,0.5266666666666666
noise,0,rp,8,angle_reupload,250000,0.0005228432128205895,0.0003442737797740847,0.0010559576330706477,40.9972038269043,18.03346061706543,0.42857142857142855,0.42
noise,0,rp,10,zz,250000,0.03723502531647682,0.04044940695166588,0.0025506007950752974,440.917236328125,26.869434356689453,0.9942857142857143,0.5133333333333333
noise,0,rp,10,angle_reupload,250000,0.0015570790274068713,0.0016528693959116936,3.514822674333118e-05,76.74516296386719,3.197101354598999,0.5057142857142857,0.5066666666666667
noise,0,umap,2,zz,250000,0.001484968001022935,0.0027616582810878754,0.08174978196620941,5.902511119842529,253.0942840576172,0.5428571428571428,0.4866666666666667
noise,0,umap,2,angle_reupload,250000,0.0001991542667383328,-0.0003373153740540147,0.0558755099773407,1.6628419160842896,299.4952087402344,0.5057142857142857,0.5066666666666667
noise,0,umap,4,zz,250000,0.006910968571901321,0.010580816306173801,0.02440752275288105,43.35145568847656,114.33583068847656,0.6571428571428571,0.5466666666666666
noise,0,umap,4,angle_reupload,250000,0.0008232882828451693,0.0009971295949071646,0.01592598482966423,12.229469299316406,83.88936614990234,0.48857142857142855,0.52
noise,0,umap,6,zz,250000,0.016212716698646545,0.021029340103268623,0.008443478494882584,171.90756225585938,57.390541076660156,0.8257142857142857,0.44
noise,0,umap,6,angle_reupload,250000,-0.0003461168962530792,-0.00045304250670596957,0.0009175862651318312,57.81364059448242,18.758251190185547,0.4657142857142857,0.5066666666666667
noise,0,umap,8,zz,250000,0.025669004768133163,0.029621325433254242,0.004074249882251024,329.22802734375,35.47725296020508,0.94,0.5266666666666666
noise,0,umap,8,angle_reupload,250000,-0.0004553500039037317,-0.0006748076411895454,5.511011113412678e-05,96.26541137695312,4.5460429191589355,0.5057142857142857,0.5066666666666667
noise,0,umap,10,zz,250000,0.03984824940562248,0.04068250209093094,0.0024416695814579725,445.15179443359375,25.1795597076416,0.9885714285714285,0.47333333333333333
noise,0,umap,10,angle_reupload,250000,-0.0014617701526731253,-0.0018791132606565952,2.5034219106601086e-06,123.74110412597656,0.9681674242019653,0.5057142857142857,0.5066666666666667
noise,0,fs,2,zz,250000,0.00020488737209234387,0.0015694076428189874,0.05948583036661148,2.9638028144836426,366.6419982910156,0.5257142857142857,0.48
noise,0,fs,2,angle_reupload,250000,2.308728471689392e-05,0.00022648255981039256,0.030713219195604324,1.3265916109085083,390.22314453125,0.5171428571428571,0.5
noise,0,fs,4,zz,250000,0.0028981941286474466,0.006028570234775543,0.03900497034192085,22.497915267944336,171.15298461914062,0.6371428571428571,0.52
noise,0,fs,4,angle_reupload,250000,-0.0010381577303633094,-0.0022492974530905485,0.052334435284137726,4.30482816696167,183.37147521972656,0.4828571428571429,0.46
noise,0,fs,6,zz,250000,0.012996830977499485,0.020447110757231712,0.011541961692273617,134.25828552246094,77.08197021484375,0.8085714285714286,0.5533333333333333
noise,0,fs,6,angle_reupload,250000,-0.0009351731860078871,-0.0017564347945153713,0.006772289052605629,25.642759323120117,52.49650955200195,0.42857142857142855,0.54
noise,0,fs,8,zz,250000,0.02548057958483696,0.033125702291727066,0.004484617616981268,315.2309265136719,41.429237365722656,0.9542857142857143,0.5266666666666666
noise,0,fs,8,angle_reupload,250000,0.001377547043375671,0.0014609849313274026,0.0008355833124369383,73.09113311767578,16.328590393066406,0.49142857142857144,0.4866666666666667
noise,0,fs,10,zz,250000,0.036808814853429794,0.0408804751932621,0.002576989820227027,436.71856689453125,27.4586238861084,0.9942857142857143,0.44
noise,0,fs,10,angle_reupload,250000,0.0014485055580735207,0.0015043058665469289,1.372338920191396e-05,129.17030334472656,2.12448787689209,0.5057142857142857,0.5066666666666667
noise,1,pca,2,zz,250000,0.0007766032940708101,0.003620976349338889,0.06629383563995361,3.1628077030181885,357.4277648925781,0.5571428571428572,0.49333333333333335
noise,1,pca,2,angle_reupload,250000,0.00012778289965353906,0.00021667701366823167,0.03333815559744835,1.3448957204818726,383.8725280761719,0.5114285714285715,0.54
noise,1,pca,4,zz,250000,0.004209107253700495,0.008662823587656021,0.03786353021860123,23.68753433227539,169.4024200439453,0.6457142857142857,0.5333333333333333
noise,1,pca,4,angle_reupload,250000,0.0007297546253539622,0.0019219161476939917,0.04932775720953941,4.579344272613525,174.49517822265625,0.47714285714285715,0.5066666666666667
noise,1,pca,6,zz,250000,0.01253493968397379,0.02002103440463543,0.011058418080210686,142.54995727539062,74.77098846435547,0.8171428571428572,0.49333333333333335
noise,1,pca,6,angle_reupload,250000,0.0004059103084728122,3.4204487747047096e-05,0.0056102038361132145,29.990890502929688,47.35544204711914,0.48857142857142855,0.4666666666666667
noise,1,pca,8,zz,250000,0.02622518315911293,0.03404523804783821,0.004057998303323984,337.9625549316406,38.22767639160156,0.9885714285714285,0.54
noise,1,pca,8,angle_reupload,250000,0.0016528589185327291,0.001814347691833973,0.0005703837377950549,86.08708953857422,13.45833683013916,0.4742857142857143,0.5533333333333333
