dataset,dr_method,dimension,embedding,kta_method,reps_mean,reps_std,random_samples_mean,random_samples_std,learning_rate_mean,learning_rate_std,epochs_config_mean,epochs_config_std,wall_clock_time_mean,wall_clock_time_std,final_alignment_mean,final_alignment_std,final_loss_mean,final_loss_std,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,balanced_train_accuracy_mean,balanced_train_accuracy_std,balanced_test_accuracy_mean,balanced_test_accuracy_std,f1_score_mean,f1_score_std,precision_mean,precision_std,recall_mean,recall_std,generalization_gap_mean,generalization_gap_std,train_margin_mean,train_margin_std,test_margin_mean,test_margin_std,kernel_variance_mean,kernel_variance_std,effective_rank_mean,effective_rank_std,fro_norm_mean,fro_norm_std,centered_alignment_mean,centered_alignment_std,epochs_mean,epochs_std,training_time_mean,training_time_std,circuit_executions_mean,circuit_executions_std
helix,fs,2,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,1.097185500334793,0.0028895016863274576,0.3363322615623474,0.0,0.4010990858078003,0.0,0.9325,0.0,0.92,0.0,0.9324561403508772,0.0,0.9250000000000002,0.0,0.9178981937602627,0.0,0.913961038961039,0.0,0.9250000000000002,0.0,0.012499999999999956,0.0,1.7704230708186737,0.0,1.7208488623580214,0.0,0.10695210099220276,0.0,3.890826463699341,0.0,230.29269409179688,0.0,0.6349733471870422,0.0,20.0,0.0,0.8821383749988551,0.0017811787481644623,1924672.0,0.0
helix,fs,4,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,6.523373360988141,0.018857418688217466,0.3604185879230499,0.0,0.44077444076538086,0.0,0.9375,0.0,0.92,0.0,0.937468671679198,0.0,0.9250000000000002,0.0,0.9178981937602627,0.0,0.913961038961039,0.0,0.9250000000000002,0.0,0.01749999999999996,0.0,1.4884837510587026,0.0,1.5188299728064942,0.0,0.07131548970937729,0.0,13.172708511352539,0.0,155.7080535888672,0.0,0.5863885283470154,0.0,20.0,0.0,5.500323486330065,0.0214941270079527,1924672.0,0.0
helix,fs,6,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,24.76813552766301,0.037558856834343735,0.30271175503730774,0.0,0.569939374923706,0.0,0.965,0.0,0.9,0.0,0.9646616541353383,0.0,0.9,0.0,0.8966515088879703,0.0,0.8940886699507389,0.0,0.9,0.0,0.06499999999999995,0.0,1.2238567622798107,0.0,1.100821724305214,0.0,0.01725141704082489,0.0,98.70196533203125,0.0,67.24681091308594,0.0,0.4410991668701172,0.0,20.0,0.0,21.866707860996637,0.06845072102399972,1924672.0,0.0
helix,fs,8,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,102.0606084583366,0.1528301560579036,0.12079809606075287,0.0,0.6040591597557068,0.0,0.985,0.0,0.86,0.0,0.9849624060150376,0.0,0.8666666666666667,0.0,0.8572011423908609,0.0,0.85426731078905,0.0,0.8666666666666667,0.0,0.125,0.0,0.9896797651751373,0.0,0.5661545731057457,0.0,0.0037929725367575884,0.0,319.021728515625,0.0,26.289079666137695,0.0,0.14297345280647278,0.0,20.0,0.0,93.30543359733808,0.16786129472895048,1924672.0,0.0
helix,pca,2,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,1.3871466109897785,0.4813100252828263,0.041308943182229996,0.0,0.49245744943618774,0.0,0.6525,0.0,0.69,0.0,0.6494987468671679,0.0,0.7124999999999999,0.0,0.6897207486738064,0.0,0.7080783353733171,0.0,0.7124999999999999,0.0,-0.03749999999999998,0.0,0.7432913449536317,0.0,0.7005270823972825,0.0,0.09773216396570206,0.0,5.0106401443481445,0.0,207.8125457763672,0.0,0.07392647862434387,0.0,20.0,0.0,1.0518478333348564,0.2825913079518954,1924672.0,0.0
helix,pca,4,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,6.634230958336654,0.08532826449206078,0.02700873836874962,0.0,0.6717513799667358,0.0,0.7925,0.0,0.55,0.0,0.7895989974937342,0.0,0.5833333333333334,0.0,0.5488721804511278,0.0,0.5879120879120879,0.0,0.5833333333333334,0.0,0.24249999999999994,0.0,0.6992552688568106,0.0,0.608478520268281,0.0,0.012137029320001602,0.0,97.47050476074219,0.0,55.94458770751953,0.0,0.03321699798107147,0.0,20.0,0.0,5.579048596991925,0.05073296427805529,1924672.0,0.0
helix,pca,6,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,24.683455416670768,0.06857851740002839,0.05275169014930725,0.0,0.6452537775039673,0.0,0.9875000000000002,0.0,0.56,0.0,0.9875939849624059,0.0,0.5958333333333333,0.0,0.5584102769971899,0.0,0.6024955436720143,0.0,0.5958333333333333,0.0,0.4275,0.0,0.8425264816272658,0.0,0.3558059226824515,0.0,0.003252247581258416,0.0,332.4175109863281,0.0,24.603979110717773,0.0,0.056482359766960144,0.0,20.0,0.0,21.75301661133805,0.1077686788148537,1924672.0,0.0
helix,pca,8,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,102.24729616665475,0.20995148874169436,0.050681084394454956,0.0,0.6471924781799316,0.0,1.0,0.0,0.45,0.0,1.0,0.0,0.5083333333333333,0.0,0.4294013901857039,0.0,0.5120554550934298,0.0,0.5083333333333333,0.0,0.55,0.0,0.944729481978093,0.0,0.14403133763063822,0.0,0.002508793957531452,0.0,396.05633544921875,0.0,20.223407745361328,0.0,0.051158882677555084,0.0,20.0,0.0,93.34881724999286,0.19774990974296514,1924672.0,0.0
helix,rp,2,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,1.1169158196717035,0.028367465428257552,0.00825765822082758,0.0,0.7902270555496216,0.0,0.5725,0.0,0.57,0.0,0.5642857142857143,0.0,0.6041666666666667,0.0,0.568922305764411,0.0,0.6098901098901099,0.0,0.6041666666666667,0.0,0.0025000000000000577,0.0,0.5822014899575957,0.0,0.6097063078337576,0.0,0.0967099592089653,0.0,5.967529296875,0.0,189.3571319580078,0.0,0.010358757339417934,0.0,20.0,0.0,0.8824101946762918,0.0026422629816909475,1924672.0,0.0
helix,rp,4,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,6.523363403005836,0.021411561541027115,0.040746815502643585,0.0,0.6302217245101929,0.0,0.7925,0.0,0.61,0.0,0.7916040100250626,0.0,0.6291666666666667,0.0,0.6096486838154338,0.0,0.6264789881680947,0.0,0.6291666666666667,0.0,0.1825,0.0,0.7763374572914877,0.0,0.6574243199534764,0.0,0.012266424484550953,0.0,94.05838775634766,0.0,56.29724884033203,0.0,0.05005700886249542,0.0,20.0,0.0,5.498646916656678,0.021573812889458525,1924672.0,0.0
