dataset,seed,dr_method,dimension,embedding,kta_method,reps,random_samples,learning_rate,epochs_config,wall_clock_time,final_alignment,final_loss,train_accuracy,test_accuracy,balanced_train_accuracy,balanced_test_accuracy,f1_score,precision,recall,generalization_gap,train_margin,test_margin,kernel_variance,effective_rank,fro_norm,centered_alignment,epochs,training_time,circuit_executions
helix,0,pca,2,quack_embedding,random_kta,2,8,0.2,20,1.9428979580115993,0.041308943182229996,0.49245744943618774,0.6525,0.69,0.6494987468671679,0.7124999999999999,0.6897207486738064,0.7080783353733171,0.7124999999999999,-0.03749999999999998,0.7432913449536318,0.7005270823972825,0.09773216396570206,5.0106401443481445,207.8125457763672,0.07392647862434387,20,1.3781520419870503,1924672
helix,0,pca,4,quack_embedding,random_kta,2,8,0.2,20,6.732430416013813,0.02700873836874962,0.6717513799667358,0.7925,0.55,0.7895989974937343,0.5833333333333334,0.5488721804511278,0.5879120879120879,0.5833333333333334,0.24249999999999994,0.6992552688568106,0.608478520268281,0.012137029320001602,97.47050476074219,55.94458770751953,0.03321699798107147,20,5.637607582990313,1924672
helix,0,pca,6,quack_embedding,random_kta,2,8,0.2,20,24.60429320798721,0.05275169014930725,0.6452537775039673,0.9875,0.56,0.987593984962406,0.5958333333333333,0.5584102769971899,0.6024955436720143,0.5958333333333333,0.4275,0.8425264816272658,0.3558059226824515,0.003252247581258416,332.4175109863281,24.603979110717773,0.056482359766960144,20,21.63441679198877,1924672
helix,0,pca,8,quack_embedding,random_kta,2,8,0.2,20,102.13385312497849,0.050681084394454956,0.6471924781799316,1.0,0.45,1.0,0.5083333333333333,0.4294013901857039,0.5120554550934298,0.5083333333333333,0.55,0.944729481978093,0.14403133763063822,0.002508793957531452,396.05633544921875,20.223407745361328,0.051158882677555084,20,93.22527974998229,1924672
helix,0,rp,2,quack_embedding,random_kta,2,8,0.2,20,1.1045342920115218,0.00825765822082758,0.7902270555496216,0.5725,0.57,0.5642857142857143,0.6041666666666667,0.568922305764411,0.6098901098901099,0.6041666666666667,0.0025000000000000577,0.5822014899575957,0.6097063078337576,0.0967099592089653,5.967529296875,189.3571319580078,0.010358757339417934,20,0.8828211250074673,1924672
helix,0,rp,4,quack_embedding,random_kta,2,8,0.2,20,6.511823709006421,0.040746815502643585,0.6302217245101929,0.7925,0.61,0.7916040100250626,0.6291666666666667,0.6096486838154338,0.6264789881680947,0.6291666666666667,0.1825,0.7763374572914878,0.6574243199534764,0.012266424484550953,94.05838775634766,56.29724884033203,0.05005700886249542,20,5.4859216249897145,1924672
helix,0,rp,6,quack_embedding,random_kta,2,8,0.2,20,24.765751041995827,0.0487503819167614,0.6407368183135986,0.94,0.55,0.9380952380952381,0.5875,0.5477841422972565,0.5949796472184532,0.5875,0.3899999999999999,0.8105229904532502,0.446938370103739,0.003865445265546441,300.79486083984375,27.10940170288086,0.05347347632050514,20,21.82029237502138,1924672
helix,0,rp,8,quack_embedding,random_kta,2,8,0.2,20,102.02892774998327,0.04892377555370331,0.6503963470458984,1.0,0.48,1.0,0.5125,0.4781212364512244,0.5133689839572193,0.5125,0.52,0.9042190604940123,0.18002459533276635,0.0026723346672952175,382.3074645996094,21.085447311401367,0.049623601138591766,20,93.2414743329864,1924672
helix,0,umap,2,quack_embedding,random_kta,2,8,0.2,20,1.1066453329985961,0.04082589969038963,0.668872594833374,0.6475,0.56,0.6367167919799499,0.5916666666666667,0.5592948717948718,0.5954861111111112,0.5916666666666667,0.08749999999999991,0.7686025998456695,0.7913940331068477,0.08233698457479477,7.69404935836792,155.381591796875,0.05273972079157829,20,0.8900388749898411,1924672
helix,0,umap,4,quack_embedding,random_kta,2,8,0.2,20,6.520417000021553,0.039117977023124695,0.6386932134628296,0.8275,0.58,0.824937343358396,0.5916666666666667,0.5784825371336813,0.5885668276972624,0.5916666666666667,0.24750000000000005,0.8286754080087545,0.6620416353417589,0.011959385126829147,93.27957153320312,56.90656280517578,0.04965229332447052,20,5.493164541985607,1924672
