dataset,seed,dr_method,dimension,embedding,kta_method,reps,random_samples,learning_rate,epochs_config,wall_clock_time,final_alignment,final_loss,train_accuracy,test_accuracy,balanced_train_accuracy,balanced_test_accuracy,f1_score,precision,recall,generalization_gap,train_margin,test_margin,kernel_variance,effective_rank,fro_norm,centered_alignment,epochs,training_time,circuit_executions
isolet,0,pca,2,quack_embedding,random_kta,2,8,0.2,100,1.8728687500115484,0.7621041536331177,0.32398563623428345,0.2,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.2,12.445930625747444,12.445927075355677,5.304205075162827e-08,1.002158284187317,159.9652099609375,0.08339787274599075,100,1.3825626250181813,1339512
isolet,0,pca,4,quack_embedding,random_kta,2,8,0.2,100,6.919298207998509,0.7645361423492432,0.32031452655792236,0.25,0.05,0.20306776556776557,0.047619047619047616,0.05128205128205128,0.07692307692307693,0.038461538461538464,0.2,12.530795791252872,12.537420129470066,0.013317763805389404,2.912445545196533,124.03460693359375,0.05709775537252426,100,6.06468916599988,1339512
isolet,0,pca,6,quack_embedding,random_kta,2,8,0.2,100,26.257945791003294,0.7431564927101135,0.3152998089790344,0.3375,0.125,0.2859432234432235,0.16666666666666666,0.10256410256410256,0.09965034965034965,0.1346153846153846,0.21250000000000002,12.533423362283523,12.53543568972518,0.031064147129654884,4.979287624359131,105.59882354736328,0.06315059214830399,100,23.820637625001837,1339512
isolet,0,pca,8,quack_embedding,random_kta,2,8,0.2,100,125.89701049998985,0.7406604886054993,0.3323547840118408,0.50625,0.2,0.4567307692307692,0.2619047619047619,0.15842490842490842,0.14102564102564102,0.21153846153846154,0.30624999999999997,12.493502108707453,12.506746972399963,0.029956810176372528,6.545577526092529,95.62779235839844,0.09384629875421524,100,119.479828792013,1339512
isolet,0,rp,2,quack_embedding,random_kta,2,8,0.2,100,1.6603366250055842,0.7621026635169983,0.32156264781951904,0.05,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.05,12.464627157199532,12.47101112236292,0.0009984076023101807,1.13737154006958,156.03367614746094,0.0003697721695061773,100,1.35048383299727,1339512
isolet,0,rp,4,quack_embedding,random_kta,2,8,0.2,100,6.896118000004208,0.7527825236320496,0.3328123688697815,0.18125,0.075,0.14812271062271062,0.07142857142857142,0.0641025641025641,0.07692307692307693,0.057692307692307696,0.10625,12.529531354694091,12.527300821403745,0.01754438318312168,2.302241325378418,130.5481414794922,0.024217845872044563,100,5.93402166699525,1339512
isolet,0,rp,6,quack_embedding,random_kta,2,8,0.2,100,26.430145749996882,0.7314100861549377,0.3115301728248596,0.25625,0.0,0.21016483516483517,0.0,0.0,0.0,0.0,0.25625,12.52203423282261,12.525704489705568,0.03205167502164841,3.610457420349121,115.29698944091797,0.05597948655486107,100,24.060938874987187,1339512
isolet,0,rp,8,quack_embedding,random_kta,2,8,0.2,100,137.14454104099423,0.6711127758026123,0.350335955619812,0.34375,0.175,0.3152472527472528,0.21428571428571427,0.13885714285714287,0.126,0.18,0.16875,12.514742426194086,12.51559660039673,0.05257381126284599,11.325471878051758,75.90072631835938,0.029719313606619835,100,130.7389635000145,1339512
isolet,0,umap,2,quack_embedding,random_kta,2,8,0.2,100,1.7417743330006488,0.7620468139648438,0.3239389657974243,0.2125,0.0,0.16346153846153846,0.0,0.0,0.0,0.0,0.2125,12.44816649104203,12.448284217291043,7.816271136107389e-06,1.0186477899551392,159.5988006591797,0.09174814075231552,100,1.390113333996851,1339512
isolet,0,umap,4,quack_embedding,random_kta,2,8,0.2,100,6.735219666996272,0.7646610140800476,0.310849130153656,0.2625,0.075,0.21474358974358976,0.09523809523809523,0.031111111111111107,0.02235294117647059,0.08,0.1875,12.508836728280635,12.510112624646261,0.009323963895440102,1.9514955282211304,136.01988220214844,0.04687900468707085,100,5.776354041998275,1339512
isolet,0,umap,6,quack_embedding,random_kta,2,8,0.2,100,23.8675952499907,0.7596502900123596,0.3364194631576538,0.6125,0.375,0.5742673992673992,0.4682539682539682,0.29743589743589743,0.2948717948717949,0.37820512820512814,0.23750000000000004,12.49875467238682,12.505166694519183,0.05097649246454239,6.512588977813721,94.60978698730469,0.1026582196354866,100,21.173590041988064,1339512
isolet,0,umap,8,quack_embedding,random_kta,2,8,0.2,100,78.23044099999242,0.7409520745277405,0.28148263692855835,0.51875,0.3,0.4839285714285715,0.3333333333333333,0.24304761904761907,0.25,0.28,0.21875000000000006,12.48361877110591,12.484909002234797,0.03531954437494278,6.259766101837158,93.781494140625,0.09131947159767151,100,74.15291191599681,1339512
isolet,0,fs,2,quack_embedding,random_kta,2,8,0.2,100,1.0930950830224901,0.7616653442382812,0.32472163438796997,0.1125,0.0,0.08653846153846154,0.0,0.0,0.0,0.0,0.1125,12.453319422299707,12.45317100085797,0.000611966650467366,1.0729751586914062,157.89747619628906,0.0001950164296431467,100,0.8977448330260813,1339512
isolet,0,fs,4,quack_embedding,random_kta,2,8,0.2,100,5.751106541021727,0.7629968523979187,0.33774226903915405,0.11875,0.025,0.09935897435897437,0.047619047619047616,0.017391304347826087,0.010869565217391304,0.043478260869565216,0.09375,12.510270403965698,12.51369529470691,0.006342960521578789,1.2305712699890137,153.5807342529297,0.023038357496261597,100,4.975375959009398,1339512
