dataset,dr_method,dimension,embedding,kta_method,reps_mean,reps_std,random_samples_mean,random_samples_std,learning_rate_mean,learning_rate_std,epochs_config_mean,epochs_config_std,wall_clock_time_mean,wall_clock_time_std,final_alignment_mean,final_alignment_std,final_loss_mean,final_loss_std,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,balanced_train_accuracy_mean,balanced_train_accuracy_std,balanced_test_accuracy_mean,balanced_test_accuracy_std,f1_score_mean,f1_score_std,precision_mean,precision_std,recall_mean,recall_std,generalization_gap_mean,generalization_gap_std,train_margin_mean,train_margin_std,test_margin_mean,test_margin_std,kernel_variance_mean,kernel_variance_std,effective_rank_mean,effective_rank_std,fro_norm_mean,fro_norm_std,centered_alignment_mean,centered_alignment_std,epochs_mean,epochs_std,training_time_mean,training_time_std,circuit_executions_mean,circuit_executions_std
madelon,fs,2,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,0.6346194860040365,0.006262682936098731,0.8941935300827026,0.0,0.11423617601394653,0.0,0.5125,0.0,0.45,0.0,0.5,0.0,0.5,0.0,0.3103448275862069,0.0,0.225,0.0,0.5,0.0,0.062499999999999944,0.0,0.9533793716791381,0.0,0.9549411316077707,0.0,0.01621023751795292,0.0,1.4403605461120605,0.0,144.31704711914062,0.0,0.000979745527729392,0.0,20.0,0.0,0.4541478889877908,0.007423266447715406,309112.0,0.0
madelon,fs,4,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,2.7944738196674734,0.01520923655362955,0.8935931921005249,0.0,0.11212426424026489,0.0,0.59375,0.0,0.575,0.0,0.590838023764853,0.0,0.5934343434343434,0.0,0.5682539682539682,0.0,0.6054131054131053,0.0,0.5934343434343434,0.0,0.018750000000000044,0.0,0.443616615830803,0.0,0.506262818663694,0.0,0.012631308287382126,0.0,3.2525150775909424,0.0,122.17082977294922,0.0,0.026869716122746468,0.0,20.0,0.0,2.047592346993042,0.015662585116856958,309112.0,0.0
madelon,fs,6,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,9.0488873750049,0.0369790933092705,0.8505633473396301,0.0,0.11974954605102539,0.0,0.61875,0.0,0.5,0.0,0.6164790494058787,0.0,0.5101010101010102,0.0,0.4987468671679198,0.0,0.5104166666666666,0.0,0.5101010101010102,0.0,0.11875000000000002,0.0,0.5687614582506291,0.0,0.6314988855008291,0.0,0.03178943693637848,0.0,4.173341751098633,0.0,112.06671905517578,0.0,0.02402193285524845,0.0,20.0,0.0,7.213601430334772,0.025115969775461502,309112.0,0.0
madelon,fs,8,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,27.617346611000055,0.10109751895215152,0.7920204997062683,0.0,0.2877243757247925,0.0,0.75,0.0,0.45,0.0,0.7470293933708567,0.0,0.4595959595959596,0.0,0.44862155388471175,0.0,0.4583333333333333,0.0,0.4595959595959596,0.0,0.3,0.0,0.5710279385758825,0.0,0.4777888023653614,0.0,0.031027179211378098,0.0,20.686668395996094,0.0,67.99455261230469,0.0,0.0355779267847538,0.0,20.0,0.0,23.683824096990673,0.09744123356768902,309112.0,0.0
madelon,pca,2,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,0.8985826526671493,0.4467302525519381,0.8996921181678772,0.0,0.11046069860458374,0.0,0.5125,0.0,0.45,0.0,0.5,0.0,0.5,0.0,0.3103448275862069,0.0,0.225,0.0,0.5,0.0,0.062499999999999944,0.0,0.48955449507419696,0.0,0.4875730601227886,0.0,0.013244015164673328,0.0,1.5714538097381592,0.0,141.8408966064453,0.0,0.006281854119151831,0.0,20.0,0.0,0.6149914163397625,0.2718662424620562,309112.0,0.0
madelon,pca,4,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,2.77082430566467,0.03741496691451922,0.8945118188858032,0.0,0.09991282224655151,0.0,0.5375,0.0,0.5,0.0,0.5265791119449655,0.0,0.5404040404040404,0.0,0.43019943019943013,0.0,0.6111111111111112,0.0,0.5404040404040404,0.0,0.03749999999999998,0.0,0.5470212505508903,0.0,0.4356400476236096,0.0,0.015613442286849022,0.0,2.7911603450775146,0.0,124.42011260986328,0.0,0.00683876546099782,0.0,20.0,0.0,2.015535166671422,0.024145394889413342,309112.0,0.0
madelon,pca,6,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,8.87301858300149,0.21116137823996173,0.8853306174278259,0.0,0.10101234912872314,0.0,0.65625,0.0,0.525,0.0,0.6530644152595373,0.0,0.5429292929292929,0.0,0.5174603174603174,0.0,0.5484330484330484,0.0,0.5429292929292929,0.0,0.13124999999999998,0.0,0.5859797999329984,0.0,0.6163583867064728,0.0,0.017680799588561058,0.0,5.111546039581299,0.0,107.08541107177734,0.0,0.021885011345148087,0.0,20.0,0.0,7.061170041677542,0.205006886223022,309112.0,0.0
madelon,pca,8,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,27.518879694660427,0.3356213863020054,0.5455805063247681,0.0,0.5154159069061279,0.0,0.9187499999999998,0.0,0.4000000000000001,0.0,0.9194809255784865,0.0,0.40404040404040403,0.0,0.4000000000000001,0.0,0.40404040404040403,0.0,0.40404040404040403,0.0,0.5187499999999999,0.0,0.6753733731421917,0.0,0.3379027568607847,0.0,0.016948306933045387,0.0,85.96476745605469,0.0,26.490827560424805,0.0,0.04951838031411171,0.0,20.0,0.0,23.585618041009486,0.3305413113634262,309112.0,0.0
madelon,rp,2,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,0.6239020416687708,0.009679771974127362,0.8983694314956665,0.0,0.10923993587493896,0.0,0.5125,0.0,0.45,0.0,0.5,0.0,0.5,0.0,0.3103448275862069,0.0,0.225,0.0,0.5,0.0,0.062499999999999944,0.0,0.89676928045659,0.0,0.9058744303480353,0.0,0.00020680570742115378,0.0,1.0844614505767822,0.0,157.81422424316406,0.0,0.008319392800331116,0.0,20.0,0.0,0.4453779030009173,0.0075918121951889855,309112.0,0.0
madelon,rp,4,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,2.7718118613314195,0.03225837961147885,0.7591589689254761,0.0,0.2711787223815918,0.0,0.61875,0.0,0.4000000000000001,0.0,0.6164790494058787,0.0,0.409090909090909,0.0,0.39849624060150374,0.0,0.40625,0.0,0.409090909090909,0.0,0.21875,0.0,0.614209156811774,0.0,0.6016157246712578,0.0,0.060300447046756744,0.0,8.775388717651367,0.0,74.1898193359375,0.0,0.03434739634394646,0.0,20.0,0.0,2.0328683890014267,0.02669167616968794,309112.0,0.0
