dataset,seed,dr_method,dimension,embedding,kta_method,reps,random_samples,learning_rate,epochs_config,wall_clock_time,final_alignment,final_loss,train_accuracy,test_accuracy,balanced_train_accuracy,balanced_test_accuracy,f1_score,precision,recall,generalization_gap,train_margin,test_margin,kernel_variance,effective_rank,fro_norm,centered_alignment,epochs,training_time,circuit_executions
mobius,0,pca,2,quack_embedding,random_kta,2,8,0.2,20,1.9915867499948945,0.034365300089120865,0.7884736061096191,0.6075,0.59,0.5997596153846154,0.587234893957583,0.5805626598465473,0.5946180555555556,0.587234893957583,0.01750000000000007,0.6986438559257203,0.6717775545770904,0.08290641009807587,7.601108551025391,156.95616149902344,0.042308259755373,20,1.4004967499931809,1924672
mobius,0,pca,4,quack_embedding,random_kta,2,8,0.2,20,6.703219332994195,0.028138482943177223,0.6753740906715393,0.8,0.67,0.7980769230769231,0.6688675470188075,0.6683750376846548,0.6712662337662337,0.6688675470188075,0.13,0.7046343988053471,0.5832933643167236,0.009565289132297039,115.97504425048828,48.76826477050781,0.03482067957520485,20,5.604256082995562,1924672
mobius,0,pca,6,quack_embedding,random_kta,2,8,0.2,20,24.716952167014824,0.04086829721927643,0.6747745275497437,0.9525,0.69,0.9521233974358975,0.6888755502200881,0.6884735202492211,0.6915584415584416,0.6888755502200881,0.26250000000000007,0.788408375450343,0.40696543263348856,0.00425914628431201,289.0125427246094,28.752635955810547,0.04671839252114296,20,21.75763991702115,1924672
mobius,0,pca,8,quack_embedding,random_kta,2,8,0.2,20,101.91890408299514,0.053175199776887894,0.6462216377258301,1.0,0.68,1.0,0.6782713085234093,0.6767676767676768,0.684167011161637,0.6782713085234093,0.31999999999999995,0.936794185404056,0.19097319889883924,0.0025686833541840315,390.39324951171875,20.549184799194336,0.05373413860797882,20,93.04532383399783,1924672
mobius,0,rp,2,quack_embedding,random_kta,2,8,0.2,20,1.1020677500055172,0.007608573883771896,0.8404066562652588,0.57,0.49,0.5697115384615384,0.49039615846338536,0.48994899489948995,0.4903846153846154,0.49039615846338536,0.07999999999999996,0.6786468363958792,0.5999375195510682,0.08383156359195709,7.494673728942871,158.92337036132812,0.00899012852460146,20,0.887485542014474,1924672
mobius,0,rp,4,quack_embedding,random_kta,2,8,0.2,20,6.466891749994829,0.07821543514728546,0.6805981397628784,0.79,0.72,0.7896634615384616,0.7194877951180472,0.719551282051282,0.7201926936973103,0.7194877951180472,0.07000000000000006,0.8860644409280297,0.8282074811757724,0.017102938145399094,72.53706359863281,64.1889419555664,0.09975631535053253,20,5.446649709017947,1924672
mobius,0,rp,6,quack_embedding,random_kta,2,8,0.2,20,24.647713167010807,0.105279341340065,0.6378673315048218,0.945,0.84,0.9443108974358975,0.8399359743897559,0.8399359743897559,0.8399359743897559,0.8399359743897559,0.10499999999999998,0.9316719376082665,0.75370757660555,0.00515769561752677,256.88568115234375,31.6050968170166,0.1229190081357956,20,21.710860541992588,1924672
mobius,0,rp,8,quack_embedding,random_kta,2,8,0.2,20,101.68943591599236,0.0528901144862175,0.6586536765098572,1.0,0.64,1.0,0.6370548219287715,0.6305418719211823,0.6505494505494506,0.6370548219287715,0.36,0.9351993238058047,0.18195848555708927,0.0025950917042791843,388.06451416015625,20.695194244384766,0.053079936653375626,20,92.96259183299844,1924672
mobius,0,umap,2,quack_embedding,random_kta,2,8,0.2,20,1.0946467079920694,0.13488641381263733,0.7006857395172119,0.83,0.84,0.8299278846153846,0.8403361344537814,0.84,0.8403361344537814,0.8403361344537814,-0.010000000000000009,1.2735049783156258,1.2478982593854733,0.08642427623271942,7.206732273101807,161.27671813964844,0.1981421858072281,20,0.8786532090161927,1924672
mobius,0,umap,4,quack_embedding,random_kta,2,8,0.2,20,6.42549137500464,0.08645716309547424,0.6823554635047913,0.9025,0.92,0.9018429487179487,0.9199679871948779,0.9199679871948779,0.9199679871948779,0.9199679871948779,-0.01750000000000007,0.9848317632022195,0.9081281030110461,0.011650598607957363,95.7003173828125,53.99509048461914,0.11119876056909561,20,5.403855874988949,1924672
mobius,0,umap,6,quack_embedding,random_kta,2,8,0.2,20,24.72724791598739,0.09061882644891739,0.6835140585899353,0.93,0.85,0.9298878205128205,0.8497398959583834,0.8498648783905515,0.8501602564102564,0.8497398959583834,0.08000000000000007,0.9379956178348995,0.7735103027496346,0.006566808093339205,199.1578826904297,34.68103790283203,0.09897001087665558,20,21.791724084003363,1924672
mobius,0,umap,8,quack_embedding,random_kta,2,8,0.2,20,101.65598845799104,0.0846397802233696,0.6394201517105103,0.9725,0.86,0.9717548076923077,0.8599439775910365,0.8599439775910365,0.8599439775910365,0.8599439775910365,0.11250000000000004,0.9359132751287924,0.6297163179784954,0.003994896076619625,298.8013610839844,25.675212860107422,0.08741983771324158,20,92.9190507500025,1924672
mobius,0,fs,2,quack_embedding,random_kta,2,8,0.2,20,1.0954642500146292,0.4361197054386139,0.6844488382339478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.464211670715175,2.543347178034425,0.11855702102184296,3.3040428161621094,242.06736755371094,0.784015953540802,20,0.879279291984858,1924672
mobius,0,fs,4,quack_embedding,random_kta,2,8,0.2,20,6.460671415989054,0.4831256866455078,0.6213349103927612,0.995,0.98,0.9951923076923077,0.9803921568627452,0.98,0.9803921568627452,0.9803921568627452,0.015000000000000013,1.827252686085795,1.8084694287128622,0.08092331886291504,12.31973934173584,154.46644592285156,0.6998608708381653,20,5.437587624997832,1924672
mobius,0,fs,6,quack_embedding,random_kta,2,8,0.2,20,24.74078362499131,0.15478181838989258,0.6446341276168823,0.9975,0.99,0.9975961538461539,0.9897959183673469,0.9899909918927035,0.9903846153846154,0.9897959183673469,0.007500000000000062,1.0607195430014713,0.916055264920186,0.005036322865635157,253.3218536376953,32.22555160522461,0.19723527133464813,20,21.790000457986025,1924672
mobius,0,fs,8,quack_embedding,random_kta,2,8,0.2,20,101.5719502499851,0.0850755050778389,0.6512230038642883,1.0,0.92,1.0,0.9191676670668267,0.9197109594540345,0.9232323232323232,0.9191676670668267,0.07999999999999996,0.9929960620405158,0.4461400843172293,0.0027793417684733868,374.76910400390625,21.518571853637695,0.08993124216794968,20,92.82571170799201,1924672
mobius,1,pca,2,quack_embedding,random_kta,2,8,0.2,20,1.1095345419889782,0.034365300089120865,0.7884736061096191,0.6075,0.59,0.5997596153846154,0.587234893957583,0.5805626598465473,0.5946180555555556,0.587234893957583,0.01750000000000007,0.6986438559257203,0.6717775545770904,0.08290641009807587,7.601108551025391,156.95616149902344,0.042308259755373,20,0.8888761660200544,1924672
mobius,1,pca,4,quack_embedding,random_kta,2,8,0.2,20,6.586766958993394,0.028138482943177223,0.6753740906715393,0.8,0.67,0.7980769230769231,0.6688675470188075,0.6683750376846548,0.6712662337662337,0.6688675470188075,0.13,0.7046343988053471,0.5832933643167236,0.009565289132297039,115.97504425048828,48.76826477050781,0.03482067957520485,20,5.552766250009881,1924672
mobius,1,pca,6,quack_embedding,random_kta,2,8,0.2,20,24.570748583006207,0.04086829721927643,0.6747745275497437,0.9525,0.69,0.9521233974358975,0.6888755502200881,0.6884735202492211,0.6915584415584416,0.6888755502200881,0.26250000000000007,0.788408375450343,0.40696543263348856,0.00425914628431201,289.0125427246094,28.752635955810547,0.04671839252114296,20,21.643013332999544,1924672
mobius,1,pca,8,quack_embedding,random_kta,2,8,0.2,20,101.69251229200745,0.053175199776887894,0.6462216377258301,1.0,0.68,1.0,0.6782713085234093,0.6767676767676768,0.684167011161637,0.6782713085234093,0.31999999999999995,0.936794185404056,0.19097319889883924,0.0025686833541840315,390.39324951171875,20.549184799194336,0.05373413860797882,20,92.79875766599434,1924672
mobius,1,rp,2,quack_embedding,random_kta,2,8,0.2,20,1.100874499999918,0.007608573883771896,0.8404066562652588,0.57,0.49,0.5697115384615384,0.49039615846338536,0.48994899489948995,0.4903846153846154,0.49039615846338536,0.07999999999999996,0.6786468363958792,0.5999375195510682,0.08383156359195709,7.494673728942871,158.92337036132812,0.00899012852460146,20,0.8829889579792507,1924672
mobius,1,rp,4,quack_embedding,random_kta,2,8,0.2,20,6.494586791988695,0.07821543514728546,0.6805981397628784,0.79,0.72,0.7896634615384616,0.7194877951180472,0.719551282051282,0.7201926936973103,0.7194877951180472,0.07000000000000006,0.8860644409280297,0.8282074811757724,0.017102938145399094,72.53706359863281,64.1889419555664,0.09975631535053253,20,5.463621458999114,1924672
mobius,1,rp,6,quack_embedding,random_kta,2,8,0.2,20,24.69443183299154,0.105279341340065,0.6378673315048218,0.945,0.84,0.9443108974358975,0.8399359743897559,0.8399359743897559,0.8399359743897559,0.8399359743897559,0.10499999999999998,0.9316719376082665,0.75370757660555,0.00515769561752677,256.88568115234375,31.6050968170166,0.1229190081357956,20,21.80867225001566,1924672
mobius,1,rp,8,quack_embedding,random_kta,2,8,0.2,20,101.61920849999296,0.0528901144862175,0.6586536765098572,1.0,0.64,1.0,0.6370548219287715,0.6305418719211823,0.6505494505494506,0.6370548219287715,0.36,0.9351993238058047,0.18195848555708927,0.0025950917042791843,388.06451416015625,20.695194244384766,0.053079936653375626,20,92.90139204199659,1924672
mobius,1,umap,2,quack_embedding,random_kta,2,8,0.2,20,1.1030892499838956,0.13488641381263733,0.7006857395172119,0.83,0.84,0.8299278846153846,0.8403361344537814,0.84,0.8403361344537814,0.8403361344537814,-0.010000000000000009,1.2735049783156258,1.2478982593854733,0.08642427623271942,7.206732273101807,161.27671813964844,0.1981421858072281,20,0.8850896670192014,1924672
mobius,1,umap,4,quack_embedding,random_kta,2,8,0.2,20,6.421376209007576,0.08645716309547424,0.6823554635047913,0.9025,0.92,0.9018429487179487,0.9199679871948779,0.9199679871948779,0.9199679871948779,0.9199679871948779,-0.01750000000000007,0.9848317632022195,0.9081281030110461,0.011650598607957363,95.7003173828125,53.99509048461914,0.11119876056909561,20,5.402620875014691,1924672
