dataset,dr_method,dimension,embedding,kta_method,reps_mean,reps_std,random_samples_mean,random_samples_std,learning_rate_mean,learning_rate_std,epochs_config_mean,epochs_config_std,wall_clock_time_mean,wall_clock_time_std,final_alignment_mean,final_alignment_std,final_loss_mean,final_loss_std,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,balanced_train_accuracy_mean,balanced_train_accuracy_std,balanced_test_accuracy_mean,balanced_test_accuracy_std,f1_score_mean,f1_score_std,precision_mean,precision_std,recall_mean,recall_std,generalization_gap_mean,generalization_gap_std,train_margin_mean,train_margin_std,test_margin_mean,test_margin_std,kernel_variance_mean,kernel_variance_std,effective_rank_mean,effective_rank_std,fro_norm_mean,fro_norm_std,centered_alignment_mean,centered_alignment_std,epochs_mean,epochs_std,training_time_mean,training_time_std,circuit_executions_mean,circuit_executions_std
noise,fs,2,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,1.14164536067013,0.008300986705285306,0.00010012240090873092,0.0,0.846397340297699,0.0,0.52,0.0,0.52,0.0,0.5200380009500237,0.0,0.5216346153846154,0.0,0.5198079231692677,0.0,0.5217391304347826,0.0,0.5216346153846154,0.0,0.0,0.0,0.4467817054280973,0.0,0.47372066765110793,0.0,0.09082847833633423,0.0,2.9510245323181152,0.0,271.31683349609375,0.0,0.0004300099390093237,0.0,20.0,0.0,0.9067086253295807,0.009195791463193248,1924672.0,0.0
noise,fs,4,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,6.495199472003151,0.021133421314450472,0.016120772808790207,0.0,0.6381241083145142,0.0,0.7275,0.0,0.54,0.0,0.727505687642191,0.0,0.5416666666666667,0.0,0.5398159263705482,0.0,0.5418679549114331,0.0,0.5416666666666667,0.0,0.1875,0.0,0.619237357802808,0.0,0.5069867249676787,0.0,0.012686183676123619,0.0,87.42121124267578,0.0,55.54062271118164,0.0,0.019695080816745758,0.0,20.0,0.0,5.476145930665855,0.017184812827958574,1924672.0,0.0
noise,fs,6,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,24.574256972332176,0.06340327490684469,0.0338863842189312,0.0,0.6213194131851196,0.0,0.92,0.0,0.47,0.0,0.9201480037000925,0.0,0.4663461538461539,0.0,0.4635084522724972,0.0,0.465274906986358,0.0,0.4663461538461539,0.0,0.45,0.0,0.717904671768443,0.0,0.45236060753860813,0.0,0.004835720174014568,0.0,262.8966979980469,0.0,31.55459976196289,0.0,0.03999406471848488,0.0,20.0,0.0,21.67215647199676,0.034318082937801545,1924672.0,0.0
noise,fs,8,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,106.33074244466358,0.4926480366722074,0.04961908981204033,0.0,0.6470811367034912,0.0,1.0,0.0,0.54,0.0,1.0,0.0,0.5392628205128205,0.0,0.5392628205128205,0.0,0.5392628205128205,0.0,0.5392628205128205,0.0,0.45999999999999996,0.0,0.9432060751716674,0.0,0.11575055044142461,0.0,0.002525186166167259,0.0,394.1299743652344,0.0,20.33994483947754,0.0,0.050399910658597946,0.0,20.0,0.0,97.60117761099536,0.5024346768351178,1924672.0,0.0
noise,pca,2,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,1.3798051250050776,0.42810860177655513,0.005332313012331724,0.0,0.7920594215393066,0.0,0.5725,0.0,0.47,0.0,0.572401810045251,0.0,0.46875,0.0,0.468671679197995,0.0,0.4686872741870734,0.0,0.46875,0.0,0.10250000000000004,0.0,0.662003545627345,0.0,0.6475465170491921,0.0,0.085139699280262,0.0,7.423198699951172,0.0,160.21714782714844,0.0,0.007658484857529402,0.0,20.0,0.0,1.0469218746681388,0.25569275010106185,1924672.0,0.0
noise,pca,4,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,6.522254013664981,0.10241275741114463,0.014997019432485104,0.0,0.6858910322189331,0.0,0.7375000000000002,0.0,0.5,0.0,0.7376059401485037,0.0,0.500801282051282,0.0,0.5,0.0,0.500801282051282,0.0,0.500801282051282,0.0,0.23750000000000004,0.0,0.6355118390239576,0.0,0.5186824786392293,0.0,0.012158608995378017,0.0,96.50955963134766,0.0,55.227359771728516,0.0,0.018949143588542938,0.0,20.0,0.0,5.484685222666788,0.10623223319181697,1924672.0,0.0
noise,pca,6,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,24.59282138867032,0.05188043784247383,0.039591751992702484,0.0,0.6283033490180969,0.0,0.9700000000000001,0.0,0.5,0.0,0.9699742493562339,0.0,0.5,0.0,0.49979991996798717,0.0,0.5,0.0,0.5,0.0,0.47,0.0,0.7910979535474234,0.0,0.3999932664085111,0.0,0.00364854047074914,0.0,313.5746154785156,0.0,26.524250030517578,0.0,0.044430412352085114,0.0,20.0,0.0,21.679331791999477,0.07407546466210627,1924672.0,0.0
noise,pca,8,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,104.69797150000522,2.401717425731194,0.04958537593483925,0.0,0.6506669521331787,0.0,1.0,0.0,0.57,0.0,1.0,0.0,0.5673076923076923,0.0,0.5664885573142454,0.0,0.5685434516523868,0.0,0.5673076923076923,0.0,0.43,0.0,0.9460411807602815,0.0,0.11318708208977403,0.0,0.0025278376415371895,0.0,394.00860595703125,0.0,20.344463348388672,0.0,0.04993601143360138,0.0,20.0,0.0,95.84537176366818,2.374798878916037,1924672.0,0.0
noise,rp,2,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,1.1418656526657287,0.033469322548547495,0.006000499706715345,0.0,0.8692788481712341,0.0,0.55,0.0,0.4000000000000001,0.0,0.5503137578439461,0.0,0.3974358974358975,0.0,0.3961352657004831,0.0,0.39610389610389607,0.0,0.3974358974358975,0.0,0.15000000000000002,0.0,0.6482986704816532,0.0,0.6316391363887032,0.0,0.09420324116945267,0.0,6.611764430999756,0.0,176.1629180908203,0.0,0.00987256970256567,0.0,20.0,0.0,0.8986806253330238,0.012601263996039093,1924672.0,0.0
noise,rp,4,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,6.477162722333257,0.03267216196944605,0.010462974198162556,0.0,0.6573880910873413,0.0,0.7025,0.0,0.55,0.0,0.7027800695017375,0.0,0.5512820512820513,0.0,0.54995499549955,0.0,0.551384985949418,0.0,0.5512820512820513,0.0,0.15249999999999997,0.0,0.5971612368823849,0.0,0.5153035077896067,0.0,0.017661968246102333,0.0,69.84172058105469,0.0,68.30411529541016,0.0,0.014087418094277382,0.0,20.0,0.0,5.454822263660996,0.03539746849039411,1924672.0,0.0
noise,rp,6,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,24.579516458000096,0.0672048420559973,0.029283074662089348,0.0,0.7149850130081177,0.0,0.93,0.0,0.48,0.0,0.9299482487062175,0.0,0.48397435897435903,0.0,0.4766505636070854,0.0,0.48333333333333334,0.0,0.48397435897435903,0.0,0.45,0.0,0.7239700655721745,0.0,0.3996040773168457,0.0,0.005240739323198795,0.0,253.40570068359375,0.0,32.06150436401367,0.0,0.03456174209713936,0.0,20.0,0.0,21.681653597329085,0.09596779677477793,1924672.0,0.0
noise,rp,8,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,105.80536584699682,1.0740717124969716,0.0475875549018383,0.0,0.6486008167266846,0.0,1.0,0.0,0.43,0.0,1.0,0.0,0.4310897435897436,0.0,0.42994299429942995,0.0,0.43095142513046963,0.0,0.4310897435897436,0.0,0.5700000000000001,0.0,0.9029779396489667,0.0,0.16701374386456355,0.0,0.002649526111781597,0.0,384.14984130859375,0.0,20.909399032592773,0.0,0.04885200411081314,0.0,20.0,0.0,97.04481241667236,1.0460878229610375,1924672.0,0.0
noise,umap,2,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,1.1623853056613977,0.03785642313231117,0.002411623252555728,0.0,0.8536348342895508,0.0,0.545,0.0,0.48,0.0,0.5452636315907897,0.0,0.4807692307692308,0.0,0.48,0.0,0.4807692307692308,0.0,0.4807692307692308,0.0,0.06500000000000006,0.0,0.6547119960987495,0.0,0.6375422337602143,0.0,0.08395364880561829,0.0,7.575425148010254,0.0,157.4375762939453,0.0,0.003308765823021531,0.0,20.0,0.0,0.922509625001112,0.031038781723643594,1924672.0,0.0
noise,umap,4,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,6.50878623566435,0.030722193841098745,0.01597682572901249,0.0,0.717557430267334,0.0,0.7425,0.0,0.5,0.0,0.7426310657766444,0.0,0.500801282051282,0.0,0.5,0.0,0.500801282051282,0.0,0.500801282051282,0.0,0.24250000000000005,0.0,0.6015162627827167,0.0,0.5902793496030277,0.0,0.012409725226461887,0.0,91.37641906738281,0.0,57.52486038208008,0.0,0.020251357927918434,0.0,20.0,0.0,5.485987153331128,0.032171767223898404,1924672.0,0.0
noise,umap,6,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,24.607138374999824,0.10896573194207829,0.032068245112895966,0.0,0.6735743880271912,0.0,0.915,0.0,0.48,0.0,0.9149228730718267,0.0,0.47996794871794873,0.0,0.4797919167667067,0.0,0.48,0.0,0.47996794871794873,0.0,0.43500000000000005,0.0,0.7116948705534497,0.0,0.45961258195724985,0.0,0.0046819583512842655,0.0,260.2825012207031,0.0,29.50110626220703,0.0,0.035827815532684326,0.0,20.0,0.0,21.699680041332613,0.10259898413555672,1924672.0,0.0
noise,umap,8,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,107.57180308333288,1.908946267268363,0.04565352573990822,0.0,0.6498022079467773,0.0,0.985,0.0,0.48,0.0,0.9849996249906248,0.0,0.48157051282051283,0.0,0.4797919167667067,0.0,0.48148148148148157,0.0,0.48157051282051283,0.0,0.505,0.0,0.8559907370398153,0.0,0.30385272955492104,0.0,0.002992144087329507,0.0,359.05181884765625,0.0,22.145620346069336,0.0,0.046358972787857056,0.0,20.0,0.0,98.62646865266531,1.7806244523486368,1924672.0,0.0
