dataset,seed,dr_method,dimension,embedding,kta_method,reps,random_samples,learning_rate,epochs_config,wall_clock_time,final_alignment,final_loss,train_accuracy,test_accuracy,balanced_train_accuracy,balanced_test_accuracy,f1_score,precision,recall,generalization_gap,train_margin,test_margin,kernel_variance,effective_rank,fro_norm,centered_alignment,epochs,training_time,circuit_executions
noise,0,pca,2,quack_embedding,random_kta,2,8,0.2,20,1.8741377090045717,0.005332313012331724,0.7920594215393066,0.5725,0.47,0.572401810045251,0.46875,0.468671679197995,0.46868727418707345,0.46875,0.10250000000000004,0.662003545627345,0.6475465170491921,0.085139699280262,7.423198699951172,160.21714782714844,0.007658484857529402,20,1.3421641659952002,1924672
noise,0,pca,4,quack_embedding,random_kta,2,8,0.2,20,6.488358957998571,0.014997019432485104,0.6858910322189331,0.7375,0.5,0.7376059401485037,0.500801282051282,0.5,0.500801282051282,0.500801282051282,0.23750000000000004,0.6355118390239576,0.5186824786392293,0.012158608995378017,96.50955963134766,55.227359771728516,0.018949143588542938,20,5.421153208997566,1924672
noise,0,pca,6,quack_embedding,random_kta,2,8,0.2,20,24.536674166010926,0.039591751992702484,0.6283033490180969,0.97,0.5,0.9699742493562339,0.5,0.49979991996798717,0.5,0.5,0.47,0.7910979535474234,0.3999932664085111,0.00364854047074914,313.5746154785156,26.524250030517578,0.044430412352085114,20,21.59506004200375,1924672
noise,0,pca,8,quack_embedding,random_kta,2,8,0.2,20,101.92797462501039,0.04958537593483925,0.6506669521331787,1.0,0.57,1.0,0.5673076923076923,0.5664885573142454,0.5685434516523868,0.5673076923076923,0.43000000000000005,0.9460411807602815,0.11318708208977403,0.0025278376415371895,394.00860595703125,20.344463348388672,0.04993601143360138,20,93.10862683301093,1924672
noise,0,rp,2,quack_embedding,random_kta,2,8,0.2,20,1.106740416988032,0.006000499706715345,0.8692788481712341,0.55,0.4,0.5503137578439461,0.39743589743589747,0.3961352657004831,0.39610389610389607,0.39743589743589747,0.15000000000000002,0.6482986704816532,0.6316391363887032,0.09420324116945267,6.611764430999756,176.1629180908203,0.00987256970256567,20,0.886529208990396,1924672
noise,0,rp,4,quack_embedding,random_kta,2,8,0.2,20,6.451567249998334,0.010462974198162556,0.6573880910873413,0.7025,0.55,0.7027800695017375,0.5512820512820513,0.54995499549955,0.551384985949418,0.5512820512820513,0.15249999999999997,0.5971612368823849,0.5153035077896067,0.017661968246102333,69.84172058105469,68.30411529541016,0.014087418094277382,20,5.425037374996464,1924672
noise,0,rp,6,quack_embedding,random_kta,2,8,0.2,20,24.504167332997895,0.029283074662089348,0.7149850130081177,0.93,0.48,0.9299482487062176,0.48397435897435903,0.47665056360708535,0.48333333333333334,0.48397435897435903,0.45000000000000007,0.7239700655721745,0.3996040773168458,0.005240739323198795,253.40570068359375,32.06150436401367,0.03456174209713936,20,21.57136904099025,1924672
noise,0,rp,8,quack_embedding,random_kta,2,8,0.2,20,104.57438816598733,0.0475875549018383,0.6486008167266846,1.0,0.43,1.0,0.4310897435897436,0.42994299429942995,0.4309514251304697,0.4310897435897436,0.5700000000000001,0.9029779396489667,0.16701374386456355,0.002649526111781597,384.14984130859375,20.909399032592773,0.04885200411081314,20,95.85363525000867,1924672
noise,0,umap,2,quack_embedding,random_kta,2,8,0.2,20,1.2060882919904543,0.002411623252555728,0.8536348342895508,0.545,0.48,0.5452636315907897,0.4807692307692308,0.48,0.4807692307692308,0.4807692307692308,0.06500000000000006,0.6547119960987495,0.6375422337602143,0.08395364880561829,7.575425148010254,157.4375762939453,0.003308765823021531,20,0.9583499169966672,1924672
noise,0,umap,4,quack_embedding,random_kta,2,8,0.2,20,6.473388040991267,0.01597682572901249,0.717557430267334,0.7425,0.5,0.7426310657766444,0.500801282051282,0.5,0.500801282051282,0.500801282051282,0.24250000000000005,0.6015162627827167,0.5902793496030277,0.012409725226461887,91.37641906738281,57.52486038208008,0.020251357927918434,20,5.448839208998834,1924672
noise,0,umap,6,quack_embedding,random_kta,2,8,0.2,20,24.729002250009216,0.032068245112895966,0.6735743880271912,0.915,0.48,0.9149228730718268,0.47996794871794873,0.4797919167667067,0.48,0.47996794871794873,0.43500000000000005,0.7116948705534497,0.45961258195724985,0.0046819583512842655,260.2825012207031,29.50110626220703,0.035827815532684326,20,21.80624895800429,1924672
noise,0,umap,8,quack_embedding,random_kta,2,8,0.2,20,109.775701999999,0.04565352573990822,0.6498022079467773,0.985,0.48,0.9849996249906248,0.48157051282051283,0.4797919167667067,0.4814814814814815,0.48157051282051283,0.505,0.8559907370398153,0.30385272955492104,0.002992144087329507,359.05181884765625,22.145620346069336,0.046358972787857056,20,100.68159933300922,1924672
noise,0,fs,2,quack_embedding,random_kta,2,8,0.2,20,1.1366232910077088,0.00010012240090873092,0.846397340297699,0.52,0.52,0.5200380009500237,0.5216346153846154,0.5198079231692677,0.5217391304347826,0.5216346153846154,0.0,0.4467817054280973,0.47372066765110793,0.09082847833633423,2.9510245323181152,271.31683349609375,0.0004300099390093237,20,0.9001389589975588,1924672
noise,0,fs,4,quack_embedding,random_kta,2,8,0.2,20,6.518963666007039,0.016120772808790207,0.6381241083145142,0.7275,0.54,0.727505687642191,0.5416666666666667,0.5398159263705482,0.5418679549114331,0.5416666666666667,0.1875,0.619237357802808,0.5069867249676787,0.012686183676123619,87.42121124267578,55.54062271118164,0.019695080816745758,20,5.495971500000451,1924672
noise,0,fs,6,quack_embedding,random_kta,2,8,0.2,20,24.6379750000051,0.0338863842189312,0.6213194131851196,0.92,0.47,0.9201480037000925,0.46634615384615385,0.4635084522724972,0.465274906986358,0.46634615384615385,0.45000000000000007,0.717904671768443,0.4523606075386081,0.004835720174014568,262.8966979980469,31.55459976196289,0.03999406471848488,20,21.687531332994695,1924672
noise,0,fs,8,quack_embedding,random_kta,2,8,0.2,20,105.98905775000458,0.04961908981204033,0.6470811367034912,1.0,0.54,1.0,0.5392628205128205,0.5392628205128205,0.5392628205128205,0.5392628205128205,0.45999999999999996,0.9432060751716673,0.11575055044142461,0.002525186166167259,394.1299743652344,20.33994483947754,0.050399910658597946,20,97.24049358299817,1924672
noise,1,pca,2,quack_embedding,random_kta,2,8,0.2,20,1.134495500009507,0.005332313012331724,0.7920594215393066,0.5725,0.47,0.572401810045251,0.46875,0.468671679197995,0.46868727418707345,0.46875,0.10250000000000004,0.662003545627345,0.6475465170491921,0.085139699280262,7.423198699951172,160.21714782714844,0.007658484857529402,20,0.9009664160112152,1924672
noise,1,pca,4,quack_embedding,random_kta,2,8,0.2,20,6.637317374988925,0.014997019432485104,0.6858910322189331,0.7375,0.5,0.7376059401485037,0.500801282051282,0.5,0.500801282051282,0.500801282051282,0.23750000000000004,0.6355118390239576,0.5186824786392293,0.012158608995378017,96.50955963134766,55.227359771728516,0.018949143588542938,20,5.607325042001321,1924672
noise,1,pca,6,quack_embedding,random_kta,2,8,0.2,20,24.63898358400911,0.039591751992702484,0.6283033490180969,0.97,0.5,0.9699742493562339,0.5,0.49979991996798717,0.5,0.5,0.47,0.7910979535474234,0.3999932664085111,0.00364854047074914,313.5746154785156,26.524250030517578,0.044430412352085114,20,21.708783875001245,1924672
noise,1,pca,8,quack_embedding,random_kta,2,8,0.2,20,105.9664170420001,0.04958537593483925,0.6506669521331787,1.0,0.57,1.0,0.5673076923076923,0.5664885573142454,0.5685434516523868,0.5673076923076923,0.43000000000000005,0.9460411807602815,0.11318708208977403,0.0025278376415371895,394.00860595703125,20.344463348388672,0.04993601143360138,20,97.06427816698852,1924672
noise,1,rp,2,quack_embedding,random_kta,2,8,0.2,20,1.1454690829996252,0.006000499706715345,0.8692788481712341,0.55,0.4,0.5503137578439461,0.39743589743589747,0.3961352657004831,0.39610389610389607,0.39743589743589747,0.15000000000000002,0.6482986704816532,0.6316391363887032,0.09420324116945267,6.611764430999756,176.1629180908203,0.00987256970256567,20,0.9116880840010708,1924672
noise,1,rp,4,quack_embedding,random_kta,2,8,0.2,20,6.465957874999731,0.010462974198162556,0.6573880910873413,0.7025,0.55,0.7027800695017375,0.5512820512820513,0.54995499549955,0.551384985949418,0.5512820512820513,0.15249999999999997,0.5971612368823849,0.5153035077896067,0.017661968246102333,69.84172058105469,68.30411529541016,0.014087418094277382,20,5.445473707994097,1924672
noise,1,rp,6,quack_embedding,random_kta,2,8,0.2,20,24.633264999996754,0.029283074662089348,0.7149850130081177,0.93,0.48,0.9299482487062176,0.48397435897435903,0.47665056360708535,0.48333333333333334,0.48397435897435903,0.45000000000000007,0.7239700655721745,0.3996040773168458,0.005240739323198795,253.40570068359375,32.06150436401367,0.03456174209713936,20,21.746166334007285,1924672
noise,1,rp,8,quack_embedding,random_kta,2,8,0.2,20,106.55181462499604,0.0475875549018383,0.6486008167266846,1.0,0.43,1.0,0.4310897435897436,0.42994299429942995,0.4309514251304697,0.4310897435897436,0.5700000000000001,0.9029779396489667,0.16701374386456355,0.002649526111781597,384.14984130859375,20.909399032592773,0.04885200411081314,20,97.81395920799696,1924672
noise,1,umap,2,quack_embedding,random_kta,2,8,0.2,20,1.1413372499955585,0.002411623252555728,0.8536348342895508,0.545,0.48,0.5452636315907897,0.4807692307692308,0.48,0.4807692307692308,0.4807692307692308,0.06500000000000006,0.6547119960987495,0.6375422337602143,0.08395364880561829,7.575425148010254,157.4375762939453,0.003308765823021531,20,0.904484250000678,1924672
noise,1,umap,4,quack_embedding,random_kta,2,8,0.2,20,6.524465665992466,0.01597682572901249,0.717557430267334,0.7425,0.5,0.7426310657766444,0.500801282051282,0.5,0.500801282051282,0.500801282051282,0.24250000000000005,0.6015162627827167,0.5902793496030277,0.012409725226461887,91.37641906738281,57.52486038208008,0.020251357927918434,20,5.504348333997768,1924672
noise,1,umap,6,quack_embedding,random_kta,2,8,0.2,20,24.573325207995367,0.032068245112895966,0.6735743880271912,0.915,0.48,0.9149228730718268,0.47996794871794873,0.4797919167667067,0.48,0.47996794871794873,0.43500000000000005,0.7116948705534497,0.45961258195724985,0.0046819583512842655,260.2825012207031,29.50110626220703,0.035827815532684326,20,21.691215790997376,1924672
noise,1,umap,8,quack_embedding,random_kta,2,8,0.2,20,106.50446612499945,0.04565352573990822,0.6498022079467773,0.985,0.48,0.9849996249906248,0.48157051282051283,0.4797919167667067,0.4814814814814815,0.48157051282051283,0.505,0.8559907370398153,0.30385272955492104,0.002992144087329507,359.05181884765625,22.145620346069336,0.046358972787857056,20,97.65323429199634,1924672
noise,1,fs,2,quack_embedding,random_kta,2,8,0.2,20,1.1512267910002265,0.00010012240090873092,0.846397340297699,0.52,0.52,0.5200380009500237,0.5216346153846154,0.5198079231692677,0.5217391304347826,0.5216346153846154,0.0,0.4467817054280973,0.47372066765110793,0.09082847833633423,2.9510245323181152,271.31683349609375,0.0004300099390093237,20,0.91721787500137,1924672
noise,1,fs,4,quack_embedding,random_kta,2,8,0.2,20,6.478514375005034,0.016120772808790207,0.6381241083145142,0.7275,0.54,0.727505687642191,0.5416666666666667,0.5398159263705482,0.5418679549114331,0.5416666666666667,0.1875,0.619237357802808,0.5069867249676787,0.012686183676123619,87.42121124267578,55.54062271118164,0.019695080816745758,20,5.465506583990646,1924672
noise,1,fs,6,quack_embedding,random_kta,2,8,0.2,20,24.511173209000845,0.0338863842189312,0.6213194131851196,0.92,0.47,0.9201480037000925,0.46634615384615385,0.4635084522724972,0.465274906986358,0.46634615384615385,0.45000000000000007,0.717904671768443,0.4523606075386081,0.004835720174014568,262.8966979980469,31.55459976196289,0.03999406471848488,20,21.63283929199679,1924672
noise,1,fs,8,quack_embedding,random_kta,2,8,0.2,20,106.1077056669892,0.04961908981204033,0.6470811367034912,1.0,0.54,1.0,0.5392628205128205,0.5392628205128205,0.5392628205128205,0.5392628205128205,0.45999999999999996,0.9432060751716673,0.11575055044142461,0.002525186166167259,394.1299743652344,20.33994483947754,0.050399910658597946,20,97.38798324999516,1924672
noise,2,pca,2,quack_embedding,random_kta,2,8,0.2,20,1.130782166001154,0.005332313012331724,0.7920594215393066,0.5725,0.47,0.572401810045251,0.46875,0.468671679197995,0.46868727418707345,0.46875,0.10250000000000004,0.662003545627345,0.6475465170491921,0.085139699280262,7.423198699951172,160.21714782714844,0.007658484857529402,20,0.8976350419980008,1924672
noise,2,pca,4,quack_embedding,random_kta,2,8,0.2,20,6.441085708007449,0.014997019432485104,0.6858910322189331,0.7375,0.5,0.7376059401485037,0.500801282051282,0.5,0.500801282051282,0.500801282051282,0.23750000000000004,0.6355118390239576,0.5186824786392293,0.012158608995378017,96.50955963134766,55.227359771728516,0.018949143588542938,20,5.425577417001477,1924672
noise,2,pca,6,quack_embedding,random_kta,2,8,0.2,20,24.602806415990926,0.039591751992702484,0.6283033490180969,0.97,0.5,0.9699742493562339,0.5,0.49979991996798717,0.5,0.5,0.47,0.7910979535474234,0.3999932664085111,0.00364854047074914,313.5746154785156,26.524250030517578,0.044430412352085114,20,21.734151458993438,1924672
noise,2,pca,8,quack_embedding,random_kta,2,8,0.2,20,106.19952283300518,0.04958537593483925,0.6506669521331787,1.0,0.57,1.0,0.5673076923076923,0.5664885573142454,0.5685434516523868,0.5673076923076923,0.43000000000000005,0.9460411807602815,0.11318708208977403,0.0025278376415371895,394.00860595703125,20.344463348388672,0.04993601143360138,20,97.36321029100509,1924672
noise,2,rp,2,quack_embedding,random_kta,2,8,0.2,20,1.173387458009529,0.006000499706715345,0.8692788481712341,0.55,0.4,0.5503137578439461,0.39743589743589747,0.3961352657004831,0.39610389610389607,0.39743589743589747,0.15000000000000002,0.6482986704816532,0.6316391363887032,0.09420324116945267,6.611764430999756,176.1629180908203,0.00987256970256567,20,0.8978245830076048,1924672
noise,2,rp,4,quack_embedding,random_kta,2,8,0.2,20,6.513963042001706,0.010462974198162556,0.6573880910873413,0.7025,0.55,0.7027800695017375,0.5512820512820513,0.54995499549955,0.551384985949418,0.5512820512820513,0.15249999999999997,0.5971612368823849,0.5153035077896067,0.017661968246102333,69.84172058105469,68.30411529541016,0.014087418094277382,20,5.493955707992427,1924672
noise,2,rp,6,quack_embedding,random_kta,2,8,0.2,20,24.601117041005637,0.029283074662089348,0.7149850130081177,0.93,0.48,0.9299482487062176,0.48397435897435903,0.47665056360708535,0.48333333333333334,0.48397435897435903,0.45000000000000007,0.7239700655721745,0.3996040773168458,0.005240739323198795,253.40570068359375,32.06150436401367,0.03456174209713936,20,21.727425416989718,1924672
